"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"4958","key"," "," ","16.666709030100336","500","250","inst","psychophysics","0","4992","0.0-0.0","adri","null","","","","","","",""
"1830","key"," "," ","16.666770642201833","500","250","inst","psychophysics","1","6825","0.0-1.0","adri","null","","","","","","",""
"22223","key"," "," ","16.666842342342342","500","250","instML","psychophysics","2","29051","0.0-2.0","adri","null","154","-25.666666666666668","14","25","-19.666666666666686","",""
"1991","key"," "," ","16.666714285714285","500","250","inst","psychophysics","3","31051","0.0-3.0","adri","null","","","","","","",""
"6232","key"," "," ","16.66679411764705","500","250","ml","psychophysics","4","37291","0.0-4.0","adri","null","192","28","-22","-18","-11","",""
"5261","key"," "," ","16.666758730158737","500","250","ml","psychophysics","5","42555","0.0-5.0","adri","null","172","-39","-21","10","-20","",""
"4732","key"," "," ","16.666756183745594","500","250","ml","psychophysics","6","47291","0.0-6.0","adri","null","186","25","29","-30","-14","",""
"6283","key"," "," ","16.66677393617022","500","250","ml","psychophysics","7","53579","0.0-7.0","adri","null","246","-61","-24","-30","-23","",""
"5115","key"," "," ","16.721383606557367","500","250","ml","psychophysics","8","58698","0.0-8.0","adri","null","162","-33","-14","-4","-19","",""
"6815","key"," "," ","16.66672549019607","500","250","ml","psychophysics","9","65514","0.0-9.0","adri","null","200","-13","-13","13","-17","",""
"6367","key"," "," ","16.666737532808366","500","250","ml","psychophysics","10","71883","0.0-10.0","adri","null","196","-37","25","-14","-22","",""
"4666","key"," "," ","16.66672142857143","500","250","ml","psychophysics","11","76556","0.0-11.0","adri","null","184","-26","-9","5","-22","",""
"7772","key"," "," ","16.666873118279582","500","250","ml","psychophysics","12","84331","0.0-12.0","adri","null","216","-44","-21","17","-21","",""
"5437","key"," "," ","16.666843558282217","500","250","ml","psychophysics","13","89771","0.0-13.0","adri","null","210","36","-1","-27","-15","",""
"5420","key"," "," ","16.666861111111096","500","250","ml","psychophysics","14","95195","0.0-14.0","adri","null","196","-4","3","-3","-19","",""
"6317","key"," "," ","16.66680687830688","500","250","ml","psychophysics","15","101515","0.0-15.0","adri","null","248","-42","9","-12","-20","",""
"5242","key"," "," ","16.66684394904462","500","250","ml","psychophysics","16","106764","0.0-16.0","adri","null","236","-24","22","-15","-20","",""
"3899","key"," "," ","16.666781115879832","500","250","ml","psychophysics","17","110667","0.0-17.0","adri","null","238","5","-11","-1","-18","",""
"4540","key"," "," ","16.66677573529411","500","250","ml","psychophysics","18","115211","0.0-18.0","adri","null","204","11","9","-20","-17","",""
"3997","key"," "," ","16.66682008368199","500","250","inst","psychophysics","19","119211","0.0-19.0","adri","null","","","","","","",""
"22445","key"," "," ","16.666780832095093","500","250","instPog","psychophysics","20","141660","0.0-20.0","adri","null","","","","","194","180",""
"3709","key"," "," ","16.666774774774797","500","250","inst","psychophysics","21","145372","0.0-21.0","adri","null","","","","","","",""
"4604","key"," "," ","16.666789090909084","500","250","pog","psychophysics","22","149979","0.0-22.0","adri","null","","","","","175","164",""
"3324","key"," "," ","16.666758793969837","500","250","pog","psychophysics","23","153307","0.0-23.0","adri","null","","","","","171","172",""
"5646","key"," "," ","16.666807692307675","500","250","pog","psychophysics","24","158956","0.0-24.0","adri","null","","","","","149","132",""
"11164","key"," "," ","16.66676083707029","500","250","pog","psychophysics","25","170123","0.0-25.0","adri","null","","","","","139","128",""
"2749","key"," "," ","16.666847560975505","500","250","pog","psychophysics","26","172875","0.0-26.0","adri","null","","","","","158","141",""
"3730","key"," "," ","16.6667085201794","500","250","pog","psychophysics","27","176608","0.0-27.0","adri","null","","","","","149","134",""
"3129","key"," "," ","16.66681818181822","500","250","pog","psychophysics","28","179739","0.0-28.0","adri","null","","","","","171","159",""
"7197","key"," "," ","16.666733178654344","500","250","pog","psychophysics","29","186939","0.0-29.0","adri","null","","","","","138","122",""
"3436","key"," "," ","16.66673658536577","500","250","pog","psychophysics","30","190379","0.0-30.0","adri","null","","","","","147","130",""
"4349","key"," "," ","16.6667384615384","500","250","pog","psychophysics","31","194731","0.0-31.0","adri","null","","","","","196","193",""
"5421","key"," "," ","16.66674769230769","500","250","pog","psychophysics","32","200156","0.0-32.0","adri","null","","","","","199","193",""
"2765","key"," "," ","16.66675151515149","500","250","pog","psychophysics","33","202924","0.0-33.0","adri","null","","","","","138","121",""
"2588","key"," "," ","16.666785714285886","500","250","pog","psychophysics","34","205515","0.0-34.0","adri","null","","","","","162","148",""
"2336","key"," "," ","16.66694964028781","500","250","pog","psychophysics","35","207855","0.0-35.0","adri","null","","","","","164","153",""
"6069","key"," "," ","16.666884615384653","500","250","pog","psychophysics","36","213931","0.0-36.0","adri","null","","","","","191","176",""
"2461","key"," "," ","16.666911564625803","500","250","inst","psychophysics","37","216394","0.0-37.0","adri","null","","","","","","",""
"3261","key"," "," ","16.66689230769228","500","250","instTilt","psychophysics","38","219659","0.0-38.0","adri","null","","","","","NaN","0","0"
"3885","key"," "," ","16.666810344827635","500","250","instTilt","psychophysics","39","223548","0.0-39.0","adri","null","","","","","0","0","0"
"11004","key"," "," ","16.666869696969684","500","250","instTilt","psychophysics","40","234556","0.0-40.0","adri","null","","","","","0","0","0"
"1324","key"," "," ","16.666858974359155","500","250","inst","psychophysics","41","235883","0.0-41.0","adri","null","","","","","","",""
"2010","key"," "," ","16.666783333333296","500","250","tilt","psychophysics","42","237900","0.0-42.0","adri","null","","","","","0","-1","0"
"2409","key"," "," ","16.666819444444425","500","250","tilt","psychophysics","43","240315","0.0-43.0","adri","null","","","","","-2","-2","0"
"7580","key"," "," ","16.703618101545256","500","250","tilt","psychophysics","44","247899","0.0-44.0","adri","null","","","","","1","3","1"
"2720","key"," "," ","16.666814814814845","500","250","tilt","psychophysics","45","250620","0.0-45.0","adri","null","","","","","2","3","1"
"2793","key"," "," ","16.666880239520996","500","250","tilt","psychophysics","46","253420","0.0-46.0","adri","null","","","","","-1","-2","0"
"1752","key"," "," ","16.6668285714285","500","250","tilt","psychophysics","47","255180","0.0-47.0","adri","null","","","","","0","0","0"
"2939","key"," "," ","16.666823863636225","500","250","tilt","psychophysics","48","258124","0.0-48.0","adri","null","","","","","8","9","1"
"4956","key"," "," ","16.66680405405409","500","250","tilt","psychophysics","49","263083","0.0-49.0","adri","null","","","","","2","3","1"
"4200","key"," "," ","16.666753968253957","500","250","tilt","psychophysics","50","267291","0.0-50.0","adri","null","","","","","9","9","0"
"3149","key"," "," ","16.666792553191275","500","250","tilt","psychophysics","51","270443","0.0-51.0","adri","null","","","","","2","3","1"
"2519","key"," "," ","16.66680666666672","500","250","tilt","psychophysics","52","272966","0.0-52.0","adri","null","","","","","5","6","1"
"4145","key"," "," ","16.666774193548566","500","250","tilt","psychophysics","53","277115","0.0-53.0","adri","null","","","","","-2","-2","0"
"1179","key"," "," ","16.666828571428777","500","250","tilt","psychophysics","54","278299","0.0-54.0","adri","null","","","","","0","-1","0"
"2167","key"," "," ","16.66671538461546","500","250","tilt","psychophysics","55","280476","0.0-55.0","adri","null","","","","","-5","-2","1"
"3389","key"," "," ","16.666841584158657","500","250","tilt","psychophysics","56","283868","0.0-56.0","adri","null","","","","","-4","-6","0"
"3018","key"," "," ","16.666745856353494","500","250","inst","psychophysics","57","286892","0.0-57.0","adri","null","","","","","","",""
"8844","key"," "," ","16.66682075471705","500","250","instPz","psychophysics","58","295739","0.0-58.0","adri","null","","","","","46","50",""
"4141","key"," "," ","16.666753036437342","500","250","instPz","psychophysics","59","299884","0.0-59.0","adri","null","","","","","47","50",""
"4087","key"," "," ","16.66682857142866","500","250","instPz","psychophysics","60","303980","0.0-60.0","adri","null","","","","","10","50",""
"1085","key"," "," ","16.666828125000393","500","250","inst","psychophysics","61","305068","0.0-61.0","adri","null","","","","","","",""
"3977","key"," "," ","16.666794117646997","500","250","pz","psychophysics","62","309052","0.0-62.0","adri","null","","","","","31","24",""
"3962","key"," "," ","16.666755274261636","500","250","pz","psychophysics","63","313021","0.0-63.0","adri","null","","","","","28","23",""
"10952","key"," "," ","16.666806697108072","500","250","pz","psychophysics","64","323980","0.0-64.0","adri","null","","","","","64","59",""
"4716","key"," "," ","16.666829787234153","500","250","pz","psychophysics","65","328700","0.0-65.0","adri","null","","","","","22","21",""
"4107","key"," "," ","16.666825203251992","500","250","pz","psychophysics","66","332812","0.0-66.0","adri","null","","","","","47","57",""
"3837","key"," "," ","16.666764192139794","500","250","pz","psychophysics","67","336652","0.0-67.0","adri","null","","","","","58","55",""
"5801","key"," "," ","16.666804597701177","500","250","pz","psychophysics","68","342460","0.0-68.0","adri","null","","","","","42","45",""
"3452","key"," "," ","16.66681553398059","500","250","pz","psychophysics","69","345916","0.0-69.0","adri","null","","","","","50","41",""
"4155","key"," "," ","16.666823293172648","500","250","pz","psychophysics","70","350076","0.0-70.0","adri","null","","","","","36","27",""
"2684","key"," "," ","16.666818749999948","500","250","pz","psychophysics","71","352764","0.0-71.0","adri","null","","","","","36","31",""
"3101","key"," "," ","16.666740540540587","500","250","pz","psychophysics","72","355868","0.0-72.0","adri","null","","","","","45","37",""
"2617","key"," "," ","16.666770700636693","500","250","pz","psychophysics","73","358492","0.0-73.0","adri","null","","","","","38","37",""
"3581","key"," "," ","16.66675233644859","500","250","pz","psychophysics","74","362076","0.0-74.0","adri","null","","","","","49","49",""
"3180","key"," "," ","16.666826315789397","500","250","pz","psychophysics","75","365260","0.0-75.0","adri","null","","","","","25","23",""
"4236","key"," "," ","16.666750988142155","500","250","pz","psychophysics","76","369500","0.0-76.0","adri","null","","","","","50","49",""
"2203","key"," "," ","16.666863636363292","500","250","inst","psychophysics","77","371708","0.0-77.0","adri","null","","","","","","",""
"3277","key"," "," ","16.666753846153807","500","250","inst","psychophysics","78","374988","0.0-78.0","adri","null","","","","","","",""
"3143","key"," "," ","16.755425531914682","500","250","instFlank","psychophysics","79","378140","0.0-79.0","adri","null","","","","","0.5","0.3","1"
"3917","key"," "," ","16.66676068376067","500","250","inst","psychophysics","80","382060","0.0-80.0","adri","null","","","","","","",""
"4778","key"," "," ","16.666776223776136","500","250","instFlank","psychophysics","81","386844","0.0-81.0","adri","null","","","","","0.2899999999999998","0.3","1"
"1901","key"," "," ","16.666752212389323","500","250","inst","psychophysics","82","388748","0.0-82.0","adri","null","","","","","","",""
"3561","key"," "," ","16.66680751173695","500","250","instFlank","psychophysics","83","392316","0.0-83.0","adri","null","","","","","0.34999999999999987","0.3","0"
"19949","key"," "," ","16.694692629815737","500","250","inst","psychophysics","84","412268","0.0-84.0","adri","null","","","","","","",""
"5159","key"," "," ","16.666783171521107","500","250","flank","psychophysics","85","417435","0.0-85.0","adri","null","","","","","0.8600000000000003","0.78","0"
"3774","key"," "," ","16.666756637168294","500","250","flank","psychophysics","86","421212","0.0-86.0","adri","null","","","","","0.7100000000000002","0.58","1"
"3433","key"," "," ","16.66678048780489","500","250","flank","psychophysics","87","424652","0.0-87.0","adri","null","","","","","0.7100000000000002","0.58","1"
"3175","key"," "," ","16.6667999999999","500","250","flank","psychophysics","88","427836","0.0-88.0","adri","null","","","","","0.8000000000000003","0.72","0"
"4391","key"," "," ","16.666783269961982","500","250","flank","psychophysics","89","432236","0.0-89.0","adri","null","","","","","0.4099999999999999","0.32","0"
"3031","key"," "," ","16.666796703296484","500","250","flank","psychophysics","90","435276","0.0-90.0","adri","null","","","","","0.6200000000000001","0.62","1"
"3961","key"," "," ","16.666831223628648","500","250","flank","psychophysics","91","439244","0.0-91.0","adri","null","","","","","0.2299999999999998","0.24","1"
"3530","key"," "," ","16.66676777251196","500","250","flank","psychophysics","92","442780","0.0-92.0","adri","null","","","","","0.7400000000000002","0.6","0"
"3113","key"," "," ","16.666720430107265","500","250","flank","psychophysics","93","445900","0.0-93.0","adri","null","","","","","0.5900000000000001","0.46","0"
"2977","key"," "," ","16.66681111111118","500","250","flank","psychophysics","94","448908","0.0-94.0","adri","null","","","","","0.7400000000000002","0.74","0"
"3770","key"," "," ","16.66680888888892","500","250","flank","psychophysics","95","452685","0.0-95.0","adri","null","","","","","0.53","0.34","0"
"2695","key"," "," ","16.66683229813656","500","250","flank","psychophysics","96","455389","0.0-96.0","adri","null","","","","","0.6800000000000002","0.6","1"
"2551","key"," "," ","16.66683006535963","500","250","flank","psychophysics","97","457948","0.0-97.0","adri","null","","","","","0.34999999999999987","0.42","1"
"3385","key"," "," ","16.666822660098763","500","250","flank","psychophysics","98","461340","0.0-98.0","adri","null","","","","","0.4099999999999999","0.58","1"
"4347","key"," "," ","16.666849999999975","500","250","flank","psychophysics","99","465693","0.0-99.0","adri","null","","","","","0.2599999999999998","0.22","0"
"3481","key"," "," ","16.66692307692294","500","250","flank","psychophysics","100","469180","0.0-100.0","adri","null","","","","","0.8000000000000003","0.74","1"
"3882","key"," "," ","16.66687931034464","500","250","flank","psychophysics","101","473068","0.0-101.0","adri","null","","","","","0.1999999999999998","0.26","0"
"2872","key"," "," ","16.666889534883815","500","250","flank","psychophysics","102","475949","0.0-102.0","adri","null","","","","","0.5","0.5","0"
"4550","key"," "," ","16.666864468864482","500","250","flank","psychophysics","103","480508","0.0-103.0","adri","null","","","","","0.31999999999999984","0.26","0"
"3386","key"," "," ","16.666846534653363","500","250","flank","psychophysics","104","483900","0.0-104.0","adri","null","","","","","0.43999999999999995","0.42","0"
"3112","key"," "," ","16.666892473118363","500","250","flank","psychophysics","105","487021","0.0-105.0","adri","null","","","","","0.8000000000000003","0.7","0"
"3129","key"," "," ","16.66685561497321","500","250","flank","psychophysics","106","490157","0.0-106.0","adri","null","","","","","0.1399999999999998","0.2","1"
"3351","key"," "," ","16.666890547263602","500","250","flank","psychophysics","107","493517","0.0-107.0","adri","null","","","","","0.6800000000000002","0.64","1"
"2986","key"," "," ","16.666860335195626","500","250","flank","psychophysics","108","496509","0.0-108.0","adri","null","","","","","0.2899999999999998","0.28","0"
"3770","key"," "," ","16.66692444444453","500","250","flank","psychophysics","109","500285","0.0-109.0","adri","null","","","","","0.53","0.38","1"
"2393","key"," "," ","16.78425352112677","500","250","flank","psychophysics","110","502685","0.0-110.0","adri","null","","","","","0.5","0.44","1"
"2552","key"," "," ","16.66683006535963","500","250","flank","psychophysics","111","505245","0.0-111.0","adri","null","","","","","0.43999999999999995","0.32","0"
"3482","key"," "," ","16.666817307692465","500","250","flank","psychophysics","112","508732","0.0-112.0","adri","null","","","","","0.8300000000000003","0.78","1"
"3417","key"," "," ","16.66684803921574","500","250","flank","psychophysics","113","512157","0.0-113.0","adri","null","","","","","0.8600000000000003","0.74","0"
"3337","key"," "," ","16.666810000000115","500","250","flank","psychophysics","114","515501","0.0-114.0","adri","null","","","","","0.7100000000000002","0.48","0"
