partip,task,round,trial,width,hor,flip,start,bias,train,jit_x,jit_y,time
123n,1,1,0,181,false,true,8,-8,false,-35,-23,15
123n,1,1,1,200,false,true,22,-22,false,-38,27,15
123n,1,1,2,167,true,false,14,14,false,38,14,15
123n,1,1,3,227,false,false,17,17,false,-94,87,15
123n,1,1,4,210,true,false,-30,-30,false,76,39,15
123n,1,1,5,197,true,false,22,22,false,59,33,15
123n,1,1,6,243,true,true,-24,24,false,-73,-19,15
123n,1,1,7,233,true,true,-5,5,false,-59,19,15
123n,1,1,8,241,false,false,21,21,false,96,-78,15
123n,1,1,9,200,true,false,-13,-13,false,-90,5,15
123n,1,1,10,249,false,false,16,16,false,19,51,15
123n,1,1,11,202,true,false,21,21,false,-47,-54,15
123n,1,1,12,229,false,true,12,-12,false,-68,25,15
123n,1,1,13,214,true,true,-25,25,false,37,32,15
123n,1,1,14,231,true,true,27,-27,false,34,-29,15
123n,1,1,15,248,false,true,18,-18,false,-94,-46,15
123n,1,1,16,160,false,false,22,22,false,-33,52,15
123n,1,1,17,159,true,true,6,-6,false,-88,-87,15
123n,1,1,18,239,false,false,-12,-12,false,62,-67,15
123n,1,1,19,203,true,true,5,-5,false,-56,18,15
123n,1,1,20,163,false,true,24,-24,false,67,-33,15
123n,1,1,21,212,true,true,33,-33,false,46,-68,15
123n,1,1,22,224,false,true,-6,6,false,60,-14,15
123n,1,1,23,232,false,false,32,32,false,77,-79,15
123n,1,1,24,239,false,false,23,23,false,98,76,15
123n,1,1,25,205,true,true,3,-3,false,12,-78,15
123n,1,1,26,248,false,true,36,-36,false,-83,-88,15
123n,1,1,27,246,false,false,-27,-27,false,2,-59,15
123n,1,1,28,191,true,false,21,21,false,12,12,15
123n,1,1,29,240,false,true,15,-15,false,97,70,15
123n,1,1,30,173,true,false,5,5,false,27,-45,15
123n,1,1,31,200,true,false,19,19,false,25,18,15
123n,1,NaN,0,204,true,false,-4,-4,true,-21,-35,NaN
123n,1,NaN,1,244,true,false,-31,-31,true,-35,80,NaN
123n,1,NaN,2,242,true,false,30,30,true,-27,70,NaN
123n,1,NaN,3,229,true,false,-38,-38,true,-88,51,NaN
123n,1,NaN,4,180,true,false,9,9,true,65,-47,NaN
123n,1,NaN,5,220,true,false,31,31,true,-86,-80,NaN
123n,1,NaN,6,214,true,false,-19,-19,true,-76,77,NaN
123n,1,NaN,7,228,true,false,-11,-11,true,10,-75,NaN
123n,1,NaN,8,174,true,false,2,2,true,-31,-2,NaN
123n,1,NaN,9,207,true,false,-19,-19,true,84,59,NaN
123n,1,NaN,10,151,true,false,15,15,true,31,-62,NaN
123n,1,NaN,11,235,true,false,-7,-7,true,-67,4,NaN
123n,1,NaN,12,201,true,false,18,18,true,-66,27,NaN
123n,1,NaN,13,246,true,false,38,38,true,50,39,NaN
123n,1,NaN,14,247,true,false,-10,-10,true,35,-6,NaN
123n,1,NaN,15,232,true,false,38,38,true,12,-57,NaN
123n,1,2,0,241,false,true,3,-3,false,-23,79,15
123n,1,2,1,193,true,false,-11,-11,false,7,-21,15
123n,1,2,2,163,false,true,4,-4,false,8,-65,15
123n,1,2,3,237,false,true,-9,9,false,66,-27,15
123n,1,2,4,201,true,true,19,-19,false,-28,-55,15
123n,1,2,5,220,false,true,-6,6,false,-30,94,15
123n,1,2,6,176,true,true,-19,19,false,78,-13,15
123n,1,2,7,210,true,true,25,-25,false,-89,-37,15
123n,1,2,8,182,false,false,7,7,false,21,-36,15
123n,1,2,9,185,true,false,-14,-14,false,68,14,15
123n,1,2,10,249,false,false,33,33,false,14,89,15
123n,1,2,11,168,false,false,-9,-9,false,-60,72,15
123n,1,2,12,160,false,false,-13,-13,false,22,91,15
123n,1,2,13,186,false,true,-8,8,false,80,-67,15
123n,1,2,14,241,true,false,-35,-35,false,-88,7,15
123n,1,2,15,177,true,false,18,18,false,-93,-95,15
123n,1,2,16,217,true,true,-22,22,false,-52,-83,15
123n,1,2,17,210,false,true,0,0,false,-58,32,15
123n,1,2,18,178,false,false,-9,-9,false,100,35,15
123n,1,2,19,200,true,false,-14,-14,false,60,73,15
123n,1,2,20,216,false,false,12,12,false,-46,-68,15
123n,1,2,21,239,true,false,35,35,false,-32,93,15
123n,1,2,22,223,true,true,19,-19,false,-67,-78,15
123n,1,2,23,211,true,true,-25,25,false,47,-13,15
123n,1,2,24,182,false,true,-20,20,false,-92,67,15
123n,1,2,25,227,false,false,25,25,false,78,83,15
123n,1,2,26,219,false,true,-36,36,false,-50,-57,15
123n,1,2,27,234,true,true,-3,3,false,-82,-83,15
123n,1,2,28,205,true,true,-30,30,false,87,-4,15
123n,1,2,29,239,true,false,34,34,false,-7,-50,15
123n,1,2,30,235,true,false,29,29,false,68,87,15
123n,1,2,31,160,false,false,-25,-25,false,-79,-27,15
123n,2,1,0,202,false,true,-6,6,false,-70,7,15
123n,2,1,1,208,true,true,-2,2,false,-31,81,15
123n,2,1,2,250,true,false,-37,-37,false,17,64,15
123n,2,1,3,190,false,false,16,16,false,59,-95,15
123n,2,1,4,167,true,false,4,4,false,40,-62,15
123n,2,1,5,218,true,true,-25,25,false,-32,49,15
123n,2,1,6,244,true,false,-13,-13,false,80,9,15
123n,2,1,7,249,false,true,35,-35,false,-21,63,15
123n,2,1,8,229,true,true,1,-1,false,1,24,15
123n,2,1,9,151,false,true,3,-3,false,-36,21,15
123n,2,1,10,164,false,false,22,22,false,-20,11,15
123n,2,1,11,184,true,true,-10,10,false,-57,-1,15
123n,2,1,12,179,true,false,8,8,false,1,15,15
123n,2,1,13,185,true,true,-13,13,false,-38,-45,15
123n,2,1,14,204,true,true,-21,21,false,-74,-80,15
123n,2,1,15,198,false,false,19,19,false,43,-39,15
123n,2,1,16,241,false,false,25,25,false,48,-71,15
123n,2,1,17,202,false,false,-31,-31,false,-98,28,15
123n,2,1,18,215,true,false,20,20,false,-19,-97,15
123n,2,1,19,172,true,true,-8,8,false,26,65,15
123n,2,1,20,247,true,false,-12,-12,false,-97,-42,15
123n,2,1,21,195,false,true,14,-14,false,-18,-3,15
123n,2,1,22,207,false,true,-15,15,false,-55,-19,15
123n,2,1,23,248,true,false,-3,-3,false,70,-35,15
123n,2,1,24,205,false,false,-17,-17,false,-84,-40,15
123n,2,1,25,242,false,false,17,17,false,-61,-83,15
123n,2,1,26,217,false,false,32,32,false,99,-12,15
123n,2,1,27,218,false,true,-23,23,false,-5,-55,15
123n,2,1,28,154,false,true,4,-4,false,-42,89,15
123n,2,1,29,188,false,true,-25,25,false,-44,-82,15
123n,2,1,30,192,true,false,-30,-30,false,35,52,15
123n,2,1,31,157,true,true,6,-6,false,53,67,15
123n,2,NaN,0,149,true,false,14,14,true,29,-5,15
123n,2,NaN,1,118,true,false,-2,-2,true,39,-20,15
123n,2,NaN,2,159,true,false,-20,-20,true,-25,93,15
123n,2,NaN,3,100,true,false,1,1,true,82,20,15
123n,2,NaN,4,119,true,false,0,0,true,27,78,15
123n,2,NaN,5,159,true,false,-21,-21,true,-90,-19,15
123n,2,NaN,6,105,true,false,-10,-10,true,-3,-63,15
123n,2,NaN,7,160,true,false,22,22,true,92,-47,15
123n,2,NaN,8,111,true,false,0,0,true,-45,-32,15
123n,2,NaN,9,186,true,false,19,19,true,69,-49,15
123n,2,NaN,10,156,true,false,23,23,true,-44,-40,15
123n,2,NaN,11,171,true,false,-12,-12,true,-87,-29,15
123n,2,NaN,12,146,true,false,8,8,true,0,35,15
123n,2,NaN,13,118,true,false,1,1,true,-37,7,15
123n,2,NaN,14,180,true,false,9,9,true,-31,71,15
123n,2,NaN,15,150,true,false,-7,-7,true,82,47,15
123n,2,2,0,122,true,false,-4,-4,false,95,-77,15
123n,2,2,1,126,true,false,14,14,false,-59,-34,15
123n,2,2,2,107,false,true,-11,11,false,-80,69,15
123n,2,2,3,119,true,true,7,-7,false,81,40,15
123n,2,2,4,187,false,false,-20,-20,false,-35,-55,15
123n,2,2,5,162,true,true,21,-21,false,31,-20,15
123n,2,2,6,132,false,false,-8,-8,false,-70,-4,15
123n,2,2,7,127,false,true,-1,1,false,14,-100,15
123n,2,2,8,199,false,false,7,7,false,37,-47,15
123n,2,2,9,155,true,true,-15,15,false,43,78,15
123n,2,2,10,125,true,true,8,-8,false,80,-49,15
123n,2,2,11,137,true,true,1,-1,false,62,-1,15
123n,2,2,12,161,true,false,18,18,false,67,7,15
123n,2,2,13,154,true,false,16,16,false,22,70,15
123n,2,2,14,112,true,true,16,-16,false,79,70,15
123n,2,2,15,192,true,false,15,15,false,82,-27,15
123n,2,2,16,139,true,true,-4,4,false,-69,56,15
123n,2,2,17,157,false,true,13,-13,false,31,59,15
123n,2,2,18,117,true,false,3,3,false,69,-54,15
123n,2,2,19,171,true,false,9,9,false,-45,-67,15
123n,2,2,20,175,false,true,28,-28,false,-47,-31,15
123n,2,2,21,162,false,false,-22,-22,false,-53,-3,15
123n,2,2,22,195,false,true,2,-2,false,-71,85,15
123n,2,2,23,139,false,false,5,5,false,49,56,15
123n,2,2,24,185,true,false,9,9,false,-81,-75,15
123n,2,2,25,127,false,false,18,18,false,29,-10,15
123n,2,2,26,176,false,true,19,-19,false,-83,64,15
123n,2,2,27,102,false,true,16,-16,false,23,-94,15
123n,2,2,28,174,false,false,9,9,false,-54,40,15
123n,2,2,29,170,true,true,6,-6,false,27,-44,15
123n,2,2,30,161,false,false,0,0,false,-21,36,15
123n,2,2,31,130,false,true,10,-10,false,-3,-96,15